Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.31,0.61,0.42238602305899153
75% Corpus,10,0.31,0.9099999999999999,0.41088317532058694
75% Corpus,10,0.31,symmetric,0.2779384552520532
75% Corpus,10,0.61,0.01,0.38294810606561674
75% Corpus,10,0.61,0.31,0.3572932287139394
75% Corpus,10,0.61,0.61,0.3771712863979012
75% Corpus,10,0.61,0.9099999999999999,0.44073644405732504
75% Corpus,10,0.61,symmetric,0.3522201898520259
75% Corpus,10,0.9099999999999999,0.01,0.41089451908408214
75% Corpus,10,0.9099999999999999,0.31,0.3706805183301535
75% Corpus,10,0.9099999999999999,0.61,0.4592591309819789
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3990286509969155
75% Corpus,10,0.9099999999999999,symmetric,0.35110521684058754
75% Corpus,10,symmetric,0.01,0.33719751480624505
75% Corpus,10,symmetric,0.31,0.3414245260371885
75% Corpus,10,symmetric,0.61,0.3546682488805366
75% Corpus,10,symmetric,0.9099999999999999,0.38841395998444045
75% Corpus,10,symmetric,symmetric,0.35438764274958756
75% Corpus,10,asymmetric,0.01,0.3156789106714638
75% Corpus,10,asymmetric,0.31,0.3949675197630413
75% Corpus,10,asymmetric,0.61,0.3986905966949287
75% Corpus,10,asymmetric,0.9099999999999999,0.3821996127873398
75% Corpus,10,asymmetric,symmetric,0.3075128289358082
100% Corpus,2,0.01,0.01,0.4656688544590275
100% Corpus,2,0.01,0.31,0.4712153418376772
100% Corpus,2,0.01,0.61,0.45186739583560154
100% Corpus,2,0.01,0.9099999999999999,0.45642326836016506
100% Corpus,2,0.01,symmetric,0.455964159783508
100% Corpus,2,0.31,0.01,0.46159191582188797
100% Corpus,2,0.31,0.31,0.4519594857606184
100% Corpus,2,0.31,0.61,0.45195948576061845
100% Corpus,2,0.31,0.9099999999999999,0.45195948576061845
100% Corpus,2,0.31,symmetric,0.45195948576061845
100% Corpus,2,0.61,0.01,0.4473333902866625
100% Corpus,2,0.61,0.31,0.4532942005826637
100% Corpus,2,0.61,0.61,0.4061863181504778
100% Corpus,2,0.61,0.9099999999999999,0.4089521795476815
100% Corpus,2,0.61,symmetric,0.4211796470366793
100% Corpus,2,0.9099999999999999,0.01,0.44733339028666247
100% Corpus,2,0.9099999999999999,0.31,0.4301633972341737
100% Corpus,2,0.9099999999999999,0.61,0.4143806652477139
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.4005641580806244
100% Corpus,2,0.9099999999999999,symmetric,0.4143806652477139
100% Corpus,2,symmetric,0.01,0.42546306695129354
100% Corpus,2,symmetric,0.31,0.4391543758400467
100% Corpus,2,symmetric,0.61,0.4428368121181612
100% Corpus,2,symmetric,0.9099999999999999,0.40915388765307903
100% Corpus,2,symmetric,symmetric,0.43915437584004674
100% Corpus,2,asymmetric,0.01,0.44690534147483024
100% Corpus,2,asymmetric,0.31,0.4413717358232968
100% Corpus,2,asymmetric,0.61,0.41691658968186157
100% Corpus,2,asymmetric,0.9099999999999999,0.3430711838669303
100% Corpus,2,asymmetric,symmetric,0.4225772354818412
100% Corpus,3,0.01,0.01,0.4383595789551212
100% Corpus,3,0.01,0.31,0.45155581487848645
100% Corpus,3,0.01,0.61,0.44319886239361184
100% Corpus,3,0.01,0.9099999999999999,0.4064647446589511
100% Corpus,3,0.01,symmetric,0.45542872228613085
100% Corpus,3,0.31,0.01,0.4320648124288726
100% Corpus,3,0.31,0.31,0.41967591808789967
100% Corpus,3,0.31,0.61,0.4254788750036838
100% Corpus,3,0.31,0.9099999999999999,0.4219226971519571
100% Corpus,3,0.31,symmetric,0.41967591808789967
100% Corpus,3,0.61,0.01,0.429247088300567
100% Corpus,3,0.61,0.31,0.434108963580055
